"Cue","AFSS","BOI","Concrete","SUBTLEX","AoA.x","Length","QSS","n.unique","n.unique.affordance","total.affordance","Category","Living","Thought","Repro","Person","Goals","Move","LivingN","ThoughtN","ReproN","PersonN","GoalsN","MoveN","CNC","FAM","IMG","AVAIL","MNG","VAL","ARO","DOM","AoA.y","LEN","OrthoN","PhonoN","NSyll","SUBTLWF","SUBTLCD","AnimMental","AnimPhysical","X"
"daybed",23,5.28,4.41,0.301,9.67,6,NA,27,26,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"debris",45,4.75,4.69,2.2041,11.22,6,NA,32,28,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deck",47,5.541666667,4.77,3.0839,6.45,4,15,27,27,82,"E B",127,122,109,152,169,205,26,23,23,25,26,19,566,507,539,0.85,15,5.68,3.25,5.38,6.45,4,8,34,1,23.76,7.5,171,128,NA
"decor",42,4.538461538,3.77,1.7243,10.89,5,NA,33,26,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deer",23,4.416666667,4.86,2.6484,5.17,4,18,25,21,53,"A M",663,442,643,268,332,635,27,26,21,22,22,26,631,509,624,1.3,18,6.89,3.95,4.89,5.17,4,14,48,1,8.71,2.92,377,668,NA
"deerskin",39,4.826086957,4.9,0.301,NA,8,NA,37,27,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"defendant",25,4.291666667,3.8,2.9566,11.42,9,NA,31,21,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"delicatessen",25,4.347826087,4.28,1.6232,12.06,12,NA,28,23,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deliverer",31,4.52173913,3.72,0.699,8.11,9,NA,31,26,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deliveryman",24,4.44,4.23,0.9031,7.76,11,NA,27,24,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"democrat",19,4.416666667,3.96,NA,11.21,8,11,28,20,28,"H D",670,569,573,628,548,508,23,26,26,25,25,25,472,656,336,0.78,11,5.54,5.65,5.61,11.21,8,0,0,3,1.69,0.75,583,621,NA
"den",31,4.333333333,4.57,2.4955,5.7,3,NA,24,24,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"denim",33,5.416666667,4.77,1.5315,8.22,5,6,63,48,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dentist",38,5.038461538,4.93,2.7574,5.22,7,8,34,29,87,"H P",681,671,648,636,607,569,26,24,25,25,27,26,607,563,622,1,8,3.84,4.37,4.7,5.22,7,0,1,2,11.2,3.51,661,676,NA
"deodorant",23,6.36,5,1.9191,8.83,9,17,25,20,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dermatologist",37,4.92,4.21,1.4624,12.62,13,NA,29,24,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"derriere",42,5.5,4.65,1.2553,13.12,8,NA,28,26,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"desert",29,4.291666667,4.86,3.1547,8.35,6,8,34,27,51,"E L",142,104,185,176,185,223,26,23,26,21,26,26,590,514,615,1.38,8,5.36,3.5,5.58,8.35,6,0,0,2,27.98,8.7,151,151,NA
"desk",34,6.260869565,4.87,3.3502,5.56,4,18,27,25,73,"O F",104,104,148,123,158,200,26,24,23,22,26,24,583,583,574,1.28,18,5.56,2.45,5.72,5.56,4,3,3,1,43.9,16.74,144,127,NA
"dessert",44,5.695652174,4.93,2.8549,5.61,7,13,36,33,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"detergent",18,5.227272727,4.77,1.7243,7.33,9,12,32,29,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"detonator",28,4.68,4.76,2.0864,10.63,9,NA,25,22,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"device",74,5.75,3.97,2.9671,8.06,6,18,36,30,100,"O T",104,163,146,156,333,286,27,19,26,25,24,22,444,500,391,0,18,5.79,3.42,5.95,8.06,6,1,3,2,18.16,6.71,233,131,NA
"diagram",35,4.5,4.36,1.8195,9.63,7,13,27,25,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diamond",31,5.304347826,4.89,3.0228,6.47,7,17,26,21,71,"O N",119,100,152,168,192,212,26,25,23,22,26,26,610,512,623,1.36,17,6.88,5.82,5.64,6.47,7,0,0,2,20.65,5.64,154,128,NA
"diaper",31,5.64,4.82,2.3404,3.4,6,9,30,25,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diaphragm",24,4.269230769,3.93,2.0253,12.58,9,NA,27,23,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dice",26,6.192307692,4.86,2.7275,6.37,4,23,30,26,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dictionary",35,6.04,4.62,2.281,7.28,10,8,28,26,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dietician",45,4.72,4.14,0.6021,12.35,9,NA,34,27,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dildo",45,6.52173913,4.7,1.8388,15.41,5,NA,32,24,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dime",35,6.083333333,4.85,2.7896,5.74,4,9,35,31,90,"O M",118,100,170,196,188,307,28,26,27,25,26,29,582,586,590,0.85,9,5.58,3.52,5.32,5.74,4,12,28,1,12.06,5.64,153,133,NA
"diner",31,4.375,4.82,2.8014,6.83,5,12,35,33,101,"Q",269,215,215,252,296,225,26,26,27,23,25,24,515,442,497,0.3,12,6.75,4.04,6.43,6.83,5,8,17,2,12.39,3.83,268,245,NA
"dinner",44,5.545454545,4.5,4.0144,3.99,6,5,31,26,84,"O E",168,128,219,172,285,273,25,25,26,25,26,26,542,621,570,1.71,5,6.4,3.85,6.05,3.99,6,5,21,2,202.67,47.19,186,179,NA
"dinnerware",32,5.916666667,4.79,0.9031,8.9,10,NA,29,29,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dip",21,4.535714286,4.22,2.6096,7,3,16,28,24,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diploma",34,5.96,4.93,2.1139,9.33,7,11,31,24,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dipper",34,4.909090909,4.21,NA,7.72,6,NA,27,22,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dipstick",15,5.185185185,3.81,1.415,10.78,8,NA,30,22,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dirt",47,5.08,4.86,3.1176,3.83,4,18,37,33,98,"O N",204,100,163,136,126,220,26,26,24,25,23,25,564,571,547,1.88,18,4.5,3.44,4.7,3.83,4,7,19,1,25.69,9.7,134,186,NA
"dish",32,5.8,4.9,2.7672,4.89,4,15,28,27,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dishwasher",29,5.592592593,4.86,2.017,7.16,10,18,29,28,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dishwater",29,5.2,4.61,1.0792,6.39,9,NA,25,21,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dispenser",22,4.708333333,3.84,1.7243,7.94,9,NA,28,21,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dividers",23,4.384615385,4.29,0.4771,8.44,8,NA,25,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"divorcee",35,4.5,3.8,1.3979,11.63,8,NA,33,24,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dock",51,4.541666667,4.64,2.6972,8.22,4,10,37,30,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doctor",52,5.68,4.69,4.1291,4.6,6,19,30,28,92,"H P",691,592,640,659,665,656,23,26,25,27,26,25,575,573,600,1.79,19,5.93,4.05,4.69,4.6,6,0,0,2,263.94,44.15,619,654,NA
"document",41,4.818181818,4.41,2.7126,9.86,8,17,29,21,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dog",37,6.4,4.85,3.9928,2.8,3,5,31,28,91,"A M",696,442,672,288,335,620,24,24,25,26,23,25,610,598,636,2.16,5,7,5.43,5.73,2.8,3,19,12,1,192.84,36.35,375,691,NA
"dogcatcher",26,4.72,4.35,1.2788,6.05,10,NA,36,32,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doghouse",29,5.076923077,4.79,1.7634,6.74,8,NA,32,27,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doll",48,6.434782609,5,3.1017,3.68,4,13,33,30,110,"O M",117,114,108,283,165,295,24,22,24,23,23,22,588,503,565,0.85,13,5.88,3.51,5.66,3.68,4,12,26,1,24.76,7.73,179,106,NA
"dollar",35,6.24,4.93,3.1495,5.06,6,9,36,33,95,"O M",119,116,154,104,211,384,26,25,24,25,27,25,575,611,611,1.2,9,7.39,5.57,5.07,5.06,6,1,19,2,27.65,10.4,160,146,NA
"dollhouse",40,5.826086957,4.86,1.3617,4.86,9,NA,27,25,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dolphin",27,4.52,4.96,2.1523,6.05,7,18,27,24,56,"A M",696,519,622,265,408,637,26,26,27,26,26,27,608,652,700,1,18,6.67,3,5.67,6.05,7,0,0,2,2.76,0.86,456,697,NA
"dominoes",26,5.703703704,4.66,1.6628,7.7,8,NA,49,43,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"donkey",40,4.826086957,5,2.4378,6,6,10,26,23,75,"A M",681,415,608,281,279,588,26,27,25,26,28,26,667,648,680,0.9,10,6.29,2.9,5.12,6,6,1,4,2,5.35,1.93,352,659,NA
"donut",43,NA,4.93,1.8633,NA,5,NA,37,37,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"door",40,6.217391304,4.81,4.1731,3.05,4,23,29,28,96,"O M",143,108,135,124,257,408,23,25,26,25,23,24,606,630,599,1.79,23,5.43,3.19,6.1,3.05,4,10,45,1,292.06,63.02,171,147,NA
"doorbell",31,5.916666667,4.82,2.6294,5.05,8,10,35,30,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doorframe",34,5.086956522,4.79,0.6021,8.39,9,NA,27,25,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doorknob",23,6.518518519,4.97,1.9395,4.7,8,NA,26,26,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doorknocker",38,5.52173913,4.7,0.7782,7.06,11,NA,33,30,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doorman",21,4.68,4.79,2.2122,9.32,7,NA,27,22,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doornail",30,5.4,4.9,1.5682,8.14,8,NA,26,24,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doorstep",40,5.333333333,5,2.238,6.11,8,NA,32,30,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doorstop",23,5.260869565,4.82,1.1461,6.61,8,NA,27,21,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dorm",38,4.32,4.41,2.5682,9.89,4,16,29,24,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dormitory",27,4.821428571,4.64,1.716,11.22,9,NA,28,26,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"douche",24,4.652173913,4.13,2.0828,13.39,6,NA,28,22,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dough",27,6.086956522,4.79,2.909,6.63,5,13,30,26,79,"O E",204,144,166,200,188,274,24,27,29,27,24,27,627,474,558,0.9,13,6,4.1,5.96,6.63,5,9,59,1,15.88,4.85,189,189,NA
"doughnut",33,6.260869565,4.96,2.3345,5.42,8,15,27,25,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dove",28,4.333333333,4.88,2.4548,6.63,4,11,27,21,40,"A B",673,340,604,229,296,655,22,25,26,24,26,20,588,415,616,1.04,11,6.9,3.27,6.14,6.63,4,16,20,1,5.57,1.59,293,640,NA
"drain",32,4.291666667,4.61,2.6444,6.26,5,19,34,28,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drainpipe",37,4.875,4.86,1.4624,9.11,9,NA,37,33,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drapery",29,4.68,4.32,0.6021,12,7,NA,25,21,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drawers",39,5.869565217,4.96,2.3404,6.05,7,NA,35,35,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drawing",44,4.695652174,4.6,2.9128,4.83,7,15,32,29,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drawstring",22,5.28,4.74,0.6021,9.72,10,NA,25,21,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dress",37,6.16,4.93,3.6482,4.05,5,15,25,22,69,"O C",100,107,142,208,196,321,25,27,24,26,25,24,595,588,595,1.74,15,6.42,4.73,6.64,4.05,5,5,7,1,87.2,26.06,166,115,NA
"dresser",28,5.04,4.96,2.2625,4.28,7,14,25,20,57,"O F",150,100,184,152,217,230,26,26,25,25,23,27,560,526,556,0.48,14,5.28,2.58,4.96,4.28,7,4,5,2,3.57,1.9,153,155,NA
"dressing",33,5.08,4.03,2.9058,5.68,8,14,38,28,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dressmaker",28,4.875,4.64,1.4624,9.3,10,NA,27,24,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"driftwood",37,5.416666667,4.88,1.6435,9.53,9,NA,29,26,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drill",32,5.739130435,4.4,2.8463,7.14,5,19,26,25,55,"O T",104,150,152,160,231,404,27,24,21,25,26,25,516,473,571,0.7,19,4.73,5.11,5.48,7.14,5,6,13,1,13.75,5.56,197,139,NA
"drink",38,6.074074074,4.76,4.101,3.47,5,20,25,20,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"driver",20,4.565217391,4.71,3.3833,4.95,6,16,28,20,31,"H A",629,631,600,668,528,605,24,29,24,25,25,22,553,593,567,1.3,16,6.39,3.15,5.56,4.95,6,4,4,2,47.37,16.67,623,624,NA
"drone",46,4.291666667,3.93,2.1614,10.11,5,NA,26,24,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drug",44,5.375,4.48,3.363,8.11,4,20,31,28,81,"O M",179,108,174,144,261,246,24,26,23,25,23,26,555,539,564,1.66,20,4.11,4.48,3.67,8.11,4,5,6,1,45.22,13.03,170,169,NA
"drugstore",25,5.260869565,4.82,2.3424,7.53,9,NA,31,25,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drum",33,5.8,4.96,2.6365,4.63,4,16,27,24,63,"O I",100,112,183,180,204,289,29,26,24,25,25,28,602,506,599,1.18,16,6.05,4.67,5.65,4.63,4,4,9,1,8.47,3.22,161,130,NA
"drumstick",32,5.708333333,4.96,1.2788,7.79,9,NA,31,29,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dryer",30,5.56,4.79,2.3655,6.16,5,9,30,26,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drywall",40,5.208333333,4.7,1.2304,12.06,7,NA,34,29,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duck",37,5.041666667,4.86,3.1017,3.5,4,16,30,25,79,"A B",669,326,665,254,335,616,26,23,26,28,23,25,606,529,632,1.26,16,6.11,4,5.3,3.5,4,16,37,1,24.76,8.38,285,646,NA
"duckling",29,5.125,4.93,1.6021,4.95,8,NA,27,21,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duckweed",32,4.4,4.29,0.301,13.2,8,NA,26,22,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ductwork",25,4.52173913,4.81,0.699,12.6,8,NA,26,22,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dude",49,5,3.93,3.7052,7.89,4,NA,37,23,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duffel",29,4.380952381,4.12,1.8865,10.11,6,NA,28,22,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dumbbell",34,5.958333333,4.69,1.415,7.56,8,NA,34,30,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dumbwaiter",30,4.44,4.55,1.2304,11.47,10,NA,26,24,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dumpling",29,4.826086957,4.65,1.6628,8.5,8,NA,25,24,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dust",14,4.827586207,4.4,3.0853,5.06,4,16,29,24,32,"O N",124,100,152,152,127,404,21,21,23,23,22,25,550,558,549,1.32,16,3.72,3.45,4.56,5.06,4,12,17,1,23.84,9.67,134,143,NA
"dustbin",36,5.708333333,4.54,0.9031,9.28,7,NA,29,26,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duster",17,5.32,4.64,1.3222,8.11,6,NA,27,25,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dwarf",25,4.333333333,4.45,2.1987,7.65,5,9,28,20,38,"H D",627,512,571,554,413,539,26,26,21,24,24,23,516,437,608,0.78,9,4.71,3.43,3.84,7.65,5,1,2,1,3.08,1.11,497,600,NA
"dwelling",32,4.857142857,4.14,1.8388,9.05,8,NA,28,20,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dye",28,4.52173913,4.58,2.2967,7.56,3,NA,33,25,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
