"Cue","AFSS","BOI","Concrete","SUBTLEX","AoA.x","Length","QSS","n.unique","n.unique.affordance","total.affordance","Category","Living","Thought","Repro","Person","Goals","Move","LivingN","ThoughtN","ReproN","PersonN","GoalsN","MoveN","CNC","FAM","IMG","AVAIL","MNG","VAL","ARO","DOM","AoA.y","LEN","OrthoN","PhonoN","NSyll","SUBTLWF","SUBTLCD","AnimMental","AnimPhysical","X"
"aftershave",23,5.375,4.56,1.7482,10.42,10,NA,28,25,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aircraft",31,4.925925926,4.4,2.6839,7.61,8,12,26,22,58,"V",120,148,163,121,404,585,25,23,24,24,23,27,564,648,576,0,12,6.3,4.86,5.71,7.61,8,0,0,2,9.45,2.49,228,151,NA
"airman",35,4.36,4.25,NA,10.58,6,NA,28,27,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airplane",41,4.625,4.96,2.7466,3.94,8,21,28,26,89,"V",121,129,171,168,257,654,24,28,24,25,21,26,683,668,616,1.36,21,5.25,5.62,4.12,3.94,8,0,0,2,10.92,4.22,182,154,NA
"album",44,5.791666667,4.69,2.7185,6.72,5,8,35,29,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alcohol",43,5.833333333,4.76,2.9274,9,7,12,28,27,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ale",22,4.962962963,4.65,2.3075,10.16,3,7,27,23,46,"O E",187,112,182,176,170,262,23,26,28,25,23,26,578,454,526,0.3,7,5.95,4.1,5.17,10.16,3,18,30,1,3.96,1.47,154,180,NA
"alfalfa",23,5.045454545,4.69,1.5315,8.83,7,NA,27,20,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"algae",33,4.458333333,4.93,1.3617,NA,5,16,30,25,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"almond",33,5.714285714,4.71,1.7559,7.67,6,11,31,27,65,"P E",304,129,379,120,144,180,27,28,24,25,25,25,608,640,680,0.6,11,6.05,2.89,6.46,7.67,6,1,2,2,1.1,0.49,122,315,NA
"altar",39,4.782608696,4.85,2.415,7.16,5,NA,27,23,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"altarpiece",29,4.80952381,4.54,0.4771,11.21,10,NA,28,24,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aluminum",36,5.083333333,4.88,2.0645,7.26,8,8,30,25,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ambulance",25,5,4.81,3.0584,6.16,9,18,27,23,49,"V",104,126,152,164,312,678,25,27,21,25,26,27,595,499,627,0.6,18,3.71,5.33,3.29,6.16,9,0,1,3,22.41,8.67,195,137,NA
"ammunition",30,4.592592593,4.88,2.4786,9.67,10,NA,51,40,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amphibian",45,4.357142857,3.77,1.3222,8.33,9,NA,32,27,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
