Cue,Target,AFS,AFP,AFSS,FSG,COS,BOI,Concrete,SUBTLEX,AoA,Length,QSS,n,n.affordance,affordance_count
amphibian,pet,0.197530864,0.5,45,NA,NA,4.357142857,3.77,1.3222,8.33,9,NA,32,27,70
amulet,wear,0.285714286,0.484848485,26,NA,NA,5.291666667,4,2.0755,11.53,6,NA,33,26,55
anchor,stop,0.161290323,0.4,42,0.016,NA,5.739130435,4.77,2.5786,5.72,6,10,25,22,53
anchovy,eat,0.363636364,0.769230769,23,NA,NA,4.428571429,4.96,0.9031,9.32,7,NA,26,24,50
animal,pet,0.133333333,0.473684211,66,0.011,NA,5.958333333,4.61,3.3657,2.89,6,28,38,34,117
ankle,walk,0.1625,0.52,28,NA,0.549968941,5.833333333,4.81,2.6128,4.89,5,16,25,22,72
anklet,wear,0.317073171,0.684210526,37,NA,NA,5.708333333,4.75,1.3424,9.06,6,NA,38,30,86
announcer,speak,0.181818182,0.24,19,NA,NA,4.296296296,4.52,NA,6.85,9,NA,25,21,35
ant,crush,0.05,0.137931034,48,NA,NA,4.84,4.86,2.4378,4.32,3,14,29,22,77
antenna,receive,0.109375,0.194444444,41,NA,NA,4.695652174,4.75,2.0899,7.05,7,13,36,29,58
antennae,receive,0.083333333,0.172413793,48,NA,NA,4.538461538,4.85,1.4624,NA,8,NA,29,21,56
antibiotics,take,0.176470588,0.3,26,NA,NA,4.956521739,4.45,2.2742,9.55,11,NA,30,22,47
antihistamine,take,0.14893617,0.205882353,29,NA,NA,5.260869565,3.68,1.1139,12.93,13,NA,34,24,48
antique,sell,0.17721519,0.24137931,40,NA,NA,4.423076923,3.75,2.4914,8.05,7,10,58,53,170
antiseptics,clean,0.196721311,0.387096774,34,NA,NA,5.041666667,3.96,0.6021,10.78,11,NA,31,24,52
anus,poop,0.163636364,0.264705882,33,NA,NA,5.16,4.86,1.7559,11.17,4,NA,34,26,46
apartment,live,0.204301075,0.292307692,39,NA,NA,4.6,4.9,3.627,7.8,9,18,65,61,216
apparatus,break,0.054545455,0.085714286,41,NA,NA,4.636363636,3.78,1.8921,10.9,9,NA,35,22,58
apparel,wear,0.237623762,0.8,49,NA,NA,5.695652174,4.6,1.5563,10.8,7,NA,30,28,91
appendage,move,0.089552239,0.214285714,43,NA,NA,5,4.26,1.3424,11.58,9,11,28,24,64
appetizer,eat,0.258064516,0.592592593,33,NA,NA,6.12,4.71,1.7924,9.06,9,NA,27,22,57
apple,eat,0.282051282,0.785714286,28,0.013,0.110741472,6.272727273,5,3.0821,4.15,5,17,28,26,83
appliance,cook,0.174311927,0.513513514,43,0.014,0.145610456,5.791666667,4.57,1.6232,8.78,9,18,37,31,107
applicator,apply,0.513513514,0.730769231,17,NA,NA,5.185185185,4.26,1.0414,10.74,10,NA,26,23,42
appraiser,appraise,0.173076923,0.272727273,33,NA,NA,4.428571429,3.62,1.0792,13.05,9,NA,33,23,47
apprentice,learn,0.166666667,0.272727273,27,NA,NA,4.321428571,3.67,2,10.58,10,NA,33,28,57
apricot,eat,0.284313725,0.783783784,40,NA,NA,6.291666667,4.97,1.5185,6.15,7,NA,37,33,100
apron,cook,0.149606299,0.5,42,0.291,NA,5.96,4.87,2.1367,6.75,5,14,38,38,115
aquarium,hold,0.094117647,0.285714286,49,NA,NA,5.782608696,4.77,2.1523,6.84,8,NA,28,27,85
arachnid,pet,0.084337349,0.233333333,51,NA,NA,4.904761905,4.65,NA,11.88,8,NA,30,23,78
archives,read,0.162790698,0.269230769,21,NA,NA,4.333333333,3.93,2.1139,10.88,8,NA,26,22,45
arm,throw,0.088607595,0.4,69,NA,0.261959616,6.47826087,4.96,3.5234,3.26,3,6,35,32,155
armband,wear,0.209677419,0.433333333,34,NA,NA,5.347826087,4.67,1.1761,10,7,NA,30,25,64
armoire,store,0.333333333,0.814814815,27,NA,NA,4.904761905,4.52,0.9542,12.37,7,NA,27,23,65
armor,protect,0.32,0.8,32,NA,NA,5.333333333,4.76,2.5717,7.17,5,13,30,29,69
armpit,smell,0.175438596,0.384615385,30,NA,NA,5.52,4.8,1.8129,6,6,NA,26,20,45
arrow,shoot,0.184210526,0.482758621,38,0.03,NA,4.92,4.97,2.6031,6.07,5,9,29,26,67
arrowhead,hunt,0.074074074,0.153846154,37,NA,NA,4.44,4.7,NA,NA,9,NA,26,21,52
artichoke,eat,0.240506329,0.703703704,33,NA,0.050712274,5.708333333,4.63,1.4624,10,9,NA,27,24,76
artifact,study,0.095890411,0.2,42,NA,NA,4.416666667,4.5,1.7559,10.33,8,NA,35,30,67
artist,paint,0.2,0.615384615,36,0.147,0.187967666,4.782608696,4.24,3.1647,6.78,6,12,26,26,80
ash,burn,0.095238095,0.057971014,26,0.033,NA,4.333333333,4.96,NA,6.63,3,12,69,56,118
ashcan,hold,0.146341463,0.193548387,24,NA,NA,4.571428571,4.78,0.9031,10.67,6,NA,31,24,40
ashtray,hold,0.184615385,0.375,30,NA,NA,5.44,4.97,2.2227,5.95,7,8,32,27,60
asparagus,eat,0.239130435,0.785714286,38,NA,0.041506709,5.56,4.96,1.7076,6.79,9,NA,28,27,83
ass,sit,0.117647059,0.25,40,NA,0.247750837,5.304347826,4.67,4.0624,7.84,3,13,32,25,62
assassin,kill,0.326530612,0.592592593,24,NA,NA,4.32,4.43,2.4814,11.28,8,NA,27,26,45
assemblyman,help,0.159090909,0.24137931,24,NA,NA,4.72,3.74,1.5798,12.89,11,NA,29,24,39
asshole,poop,0.127272727,0.212121212,35,NA,NA,4.5,4.08,3.4973,9.52,7,NA,33,28,57
astronaut,space travel,0.115942029,0.275862069,48,NA,NA,4.357142857,4.75,2.3075,6.28,9,11,29,22,57
athlete,run,0.098591549,0.28,43,NA,NA,4.916666667,4.3,2.3729,7.11,7,18,25,22,67
atlas,read,0.148148148,0.307692308,33,NA,NA,5.166666667,4.79,NA,7.9,5,10,26,23,53
attendant,help,0.111111111,0.28,39,NA,NA,5.083333333,4.44,2.2014,9.79,9,NA,25,22,57
attire,wear,0.2,0.448275862,36,0.026,NA,5.086956522,4.47,1.8865,11.22,6,6,29,22,65
attorney,advice,0.117647059,0.1875,30,NA,NA,4.72,4.52,3.3141,10.95,8,12,32,24,53
auditorium,perform,0.093333333,0.225806452,34,NA,NA,4.392857143,4.7,1.9085,6.94,10,NA,31,26,68
aunt,talk,0.131147541,0.242424242,35,NA,NA,5.041666667,4.17,NA,3.8,4,3,33,24,59
author,write,0.273809524,0.766666667,44,0.028,0.055547763,4.4,4.26,2.6085,7.1,6,8,30,27,83
auto,drive,0.233333333,0.411764706,29,0.014,0.529731072,4.391304348,4,2.5933,7.22,4,7,34,23,63
automobile,drive,0.126126126,0.538461538,59,0.02,NA,5.64,4.96,2.4654,7.11,10,8,26,23,98
