"Occurrences","Word","Length","Freq_HAL","Log_Freq_HAL","I_Zscore"
"1","auto","4","15,581","9.654","-0.664"
"1","automobile","10","3,053","8.024","-0.383"
"1","automotive","10","2,969","7.996","-0.122"
"1","avocado","7","300","5.704","-0.252"
"1","awning","6","75","4.317","0.375"
"1","axe","3","3,070","8.029","-0.380"
"1","axle","4","1,741","7.462","-0.241"
"1","azalea","6","161","5.081","0.077"
"1","babe","4","3,163","8.059","-0.557"
"1","baby","4","35,810","10.486","-0.915"
"1","backboard","9","112","4.718","0.018"
"1","backbone","8","4,126","8.325","-0.425"
"1","backdoor","8","429","6.061","-0.375"
"1","backgammon","10","1,630","7.396","0.259"
"1","backpack","8","1,933","7.567","-0.300"
"1","backscratcher","13","4","1.386","1.040"
"1","bacon","5","3,147","8.054","-0.380"
"1","badge","5","2,039","7.620","-0.595"
"1","badminton","9","242","5.489","0.463"
"1","bag","3","16,427","9.707","-0.598"
"1","baggage","7","1,875","7.536","-0.435"
"1","bagpipe","7","367","5.905","-0.013"
"1","bait","4","4,289","8.364","-0.656"
"1","baklava","7","63","4.143","0.521"
"1","balcony","7","1,083","6.987","-0.433"
"1","ball","4","38,502","10.558","-0.599"
"1","ballerina","9","140","4.942","0.198"
"1","balloon","7","4,612","8.436","-0.426"
"1","balloonist","10","6","1.792","0.214"
"1","ballot","6","3,680","8.211","-0.572"
"1","ballplayer","10","99","4.595","-0.166"
"1","balm","4","1,511","7.321","-0.495"
"1","bamboo","6","1,198","7.088","-0.372"
"1","banana","6","2,879","7.965","-0.558"
"1","band","4","49,179","10.803","-0.453"
"1","bandage","7","331","5.802","-0.067"
"1","bangle","6","41","3.714","0.132"
"1","banister","8","119","4.779","0.030"
"1","banjo","5","1,022","6.930","0.031"
"1","bank","4","39,506","10.584","-0.848"
"1","bankbook","8","3","1.099","0.066"
"1","banknote","8","99","4.595","0.245"
"1","banquet","7","1,564","7.355","-0.461"
"1","barbecue","8","534","6.280","-0.448"
"1","barber","6","2,119","7.659","-0.512"
"1","barkeep","7","108","4.682","0.497"
"1","barley","6","1,197","7.088","-0.303"
"1","barn","4","2,575","7.854","-0.601"
"1","barnacle","8","86","4.454","-0.174"
"1","barrel","6","6,836","8.830","-0.193"
"1","barrette","8","42","3.738","-0.056"
"1","barricade","9","199","5.293","-0.084"
"1","bartender","9","1,125","7.026","-0.461"
"1","baseball","8","18,372","9.819","-0.590"
"1","baseboard","9","122","4.804","0.049"
"1","basement","8","4,682","8.451","-0.425"
"1","basil","5","1,883","7.541","-0.420"
"1","basin","5","2,140","7.669","-0.364"
"1","basket","6","2,815","7.943","-0.372"
"1","basketball","10","9,831","9.193","-0.590"
"1","bass","4","17,075","9.745","-0.622"
"1","bassinet","8","57","4.043","0.463"
"1","bat","3","6,469","8.775","-0.632"
"1","bath","4","5,621","8.634","-0.645"
"1","bathe","5","670","6.507","-0.166"
"1","bathroom","8","6,414","8.766","-0.738"
"1","bathtub","7","988","6.896","-0.379"
"1","baton","5","1,688","7.431","-0.127"
"1","battery","7","27,473","10.221","-0.685"
"1","battleship","10","906","6.809","-0.226"
"1","bayonet","7","604","6.404","0.155"
