"cue","response","AFSS"
"acupuncture","heal",10
"acupuncture","relief",10
"adapter","plug",9
"adapter","charge",9
"adapter","buy",9
"adapter","sell",9
"adapter","travel",9
"adapter","connect",9
"adapter","swap",9
"adapter","change",9
"adapter","power",9
"addict","focus",15
"addict","help",15
"addict","pity",15
"addict","cuddle",15
"addict","guide",15
"addict","talk",15
"addict","refer",15
"addict","steal",15
"addict","test",15
"addict","example",15
"addict","teach",15
"addict","study",15
"addict","observe",15
"addict","speak",15
"addict","greet",15
"adult","describe",22
"adult","converse",22
"adult","friend",22
"adult","raise",22
"adult","teach",22
"adult","guide",22
"adult","employ",22
"adult","marry",22
"adult","talk",22
"adult","fight",22
"adult","grow",22
"adult","carry",22
"adult","play",22
"adult","learn",22
"adult","educate",22
"adult","support",22
"adult","help",22
"adult","company",22
"adult","companion",22
"adult","love",22
"adult","fix",22
"adult","mend",22
"advisor","advice",14
"advisor","interview",14
"advisor","talk",14
"advisor","compliment",14
"advisor","phone",14
"advisor","email",14
"advisor","health",14
"advisor","engage",14
"advisor","help",14
"advisor","see",14
"advisor","speak",14
"advisor","listen",14
"advisor","hear",14
"advisor","communicate",14
"afro","wear",12
"afro","admire",12
"afro","show",12
"afro","comb",12
"afro","dry",12
"afro","cut",12
"afro","style",12
"afro","pick",12
"afro","straighten",12
"afro","wash",12
"afro","clean",12
"afro","maintain",12
"aftershave","moisturize",15
"aftershave","drink",15
"aftershave","spray",15
"aftershave","throw",15
"aftershave","apply",15
"aftershave","buy",15
"aftershave","wash",15
"aftershave","shave",15
"aftershave","bin",15
"aftershave","sell",15
"aftershave","gift",15
"aftershave","wear",15
"aftershave","pour",15
"aftershave","clean",15
"aftershave","smell",15
"aircraft","hide",12
"aircraft","escape",12
"aircraft","fly",12
"aircraft","travel",12
"aircraft","transport",12
"aircraft","buy",12
"aircraft","sit",12
"aircraft","pilot",12
"aircraft","sleep",12
"aircraft","eat",12
"aircraft","drink",12
"aircraft","control",12
"airman","fly",23
"airman","attack",23
"airman","destroy",23
"airman","parade",23
"airman","recruit",23
"airman","murder",23
"airman","bomb",23
"airman","annihilate",23
"airman","fight",23
"airman","travel",23
"airman","listen",23
"airman","speak",23
"airman","admire",23
"airman","hug",23
"airman","kiss",23
"airman","greet",23
"airman","parachute",23
"airman","navigate",23
"airman","land",23
"airman","take off",23
"airman","steer",23
"airman","transport",23
"airman","control",23
"airplane","ride",20
"airplane","travel",20
"airplane","store",20
"airplane","escape",20
"airplane","party",20
"airplane","transport",20
"airplane","skydive",20
"airplane","fly",20
"airplane","vacation",20
"airplane","see",20
"airplane","firefight",20
"airplane","take off",20
"airplane","touch",20
"airplane","photograph",20
"airplane","rescue",20
"airplane","bomb",20
"airplane","play",20
"airplane","draw",20
"airplane","fuel",20
"airplane","load",20
"album","frisbee",18
"album","listen",18
"album","buy",18
"album","sell",18
"album","trade",18
"album","collect",18
"album","file",18
"album","keep",18
"album","music",18
"album","throw",18
"album","step on",18
"album","dance",18
"album","play",18
"album","skip",18
"album","select",18
"album","walk",18
"album","store",18
"album","level",18
"alcohol","drink",20
"alcohol","build",20
"alcohol","sell",20
"alcohol","pour",20
"alcohol","distill",20
"alcohol","clean",20
"alcohol","sterilize",20
"alcohol","drunk",20
"alcohol","bathe",20
"alcohol","party",20
"alcohol","cook",20
