"cues","AFSS","BOI","Concrete","SUBTLEX","AoA","Length","QSS","Animacy","n.unique","n.unique.affordance","total.affordance"
"banana",28,6.107142857,5,2.7388,3.78,6,13,421,25,23,76
"band",24,4.384615385,4.68,3.4354,6.16,4,14,468,27,26,53
"bandage",44,6.304347826,4.85,2.1673,5.94,7,14,100,29,27,79
"bangle",30,5.115384615,4.38,0.7782,8.65,6,NA,NA,33,25,57
"banister",28,5.130434783,4.75,1.8325,10,8,NA,NA,27,25,51
"banjo",32,6.291666667,4.9,1.9243,8.44,5,14,NA,29,28,60
"bank",33,4.72,4.78,3.637,6.44,4,6,116,25,22,67
"bankbook",28,5.363636364,4.81,0.9542,11.47,8,NA,NA,26,22,47
"banknote",29,4.52173913,4.88,0.8451,12.18,8,NA,NA,29,21,43
"banquet",31,4.538461538,4,2.4216,8.35,7,9,NA,30,23,56
"barbecue",18,4.833333333,4.52,2.6599,7.83,8,13,NA,26,21,46
"barber",33,4.958333333,4.59,2.4472,6.68,6,NA,NA,34,31,72
"barkeep",26,4.260869565,4.22,1.7076,14.37,7,NA,NA,25,24,49
"barley",34,4.541666667,4.59,1.6721,9.8,6,18,NA,26,20,61
"barman",35,4.818181818,4.46,1.4624,13.33,6,NA,NA,29,26,68
"barn",22,5.173913043,4.79,2.8414,4.5,4,13,172,27,21,48
"barnacle",35,4.260869565,4.92,1.5185,11.6,8,NA,NA,28,22,47
"barrel",38,5.304347826,4.86,2.7348,7.72,6,25,105,26,21,76
"barrette",32,6,4.12,0.9542,6.71,8,NA,NA,26,23,50
"barricade",38,4.28,4.57,1.8808,11.18,9,NA,NA,35,35,79
"bartender",42,4.64,4.82,2.6981,8.9,9,11,677,39,34,100
"baseball",45,6.037037037,4.86,3.1103,4.83,8,18,NA,35,33,138
"baseboard",26,5.375,4.9,1,10.71,9,NA,NA,27,20,37
"basement",36,4.6,4.89,3.0314,6.74,8,19,108,28,24,86
"basil",31,5.916666667,4.76,1.8451,10.13,5,NA,NA,27,27,72
"basin",25,4.818181818,4.63,1.9868,10,5,NA,NA,29,23,56
"basket",33,6.391304348,5,2.828,5.67,6,19,116,27,25,75
"basketball",39,6.25,4.97,3.0382,5.3,10,13,NA,28,26,105
"bass",45,4.37037037,4.31,2.5866,8.63,4,14,354,36,26,84
"bassinet",21,5.375,4.71,1.2788,9.18,8,5,NA,25,20,37
"bat",52,5.041666667,5,3.0224,4.85,3,17,524,39,37,115
"bath",31,5.964285714,4.85,3.2009,3.23,4,10,NA,27,25,74
"bathe",25,5.214285714,4.19,2.1106,5,5,NA,NA,33,28,62
"bathroom",42,6,4.52,3.4978,3,8,14,NA,38,37,116
"bathtub",33,6.565217391,4.92,2.4942,3.22,7,14,NA,28,26,79
"baton",37,5.913043478,4.64,2.1644,7.94,5,NA,NA,26,24,65
"battery",22,4.8,4.67,2.8021,5.58,7,21,NA,27,23,48
"battleship",38,4.36,4.81,1.9445,7.58,10,NA,NA,30,26,70
"bayonet",35,4.916666667,4.77,1.9085,11,7,NA,NA,27,24,60
"bazooka",28,5.041666667,4.66,1.6721,10.53,7,NA,NA,29,29,61
"beach",44,5.666666667,4.79,3.4607,4.8,5,16,241,27,25,99
"beachwear",25,6.304347826,4.64,0.4771,7.74,9,NA,NA,27,25,63
"bead",25,5.545454545,4.9,1.7634,5.63,4,20,NA,34,24,53
"beagle",45,5.2,4.81,1.8129,7.39,6,NA,NA,33,28,88
"beaker",32,5.416666667,4.72,1.3617,11.25,6,14,NA,28,24,59
"beanstalk",41,4.5,4.7,1.2788,6.05,9,NA,NA,36,33,103
"beard",34,5.565217391,4.96,2.8089,4.84,5,13,354,33,27,78
"beautician",36,4.608695652,4.69,1.0792,10.11,10,NA,NA,30,23,47
"bed",39,6.36,5,3.9797,2.89,3,11,104,26,26,103
"bedclothes",36,5.708333333,4.63,1,9,10,NA,NA,24,23,75
"bedpost",30,5.346153846,4.79,1.2304,6.62,7,NA,NA,26,22,51
"bedroom",35,5.708333333,4.9,3.2725,3.9,7,14,132,33,31,122
"bedspread",50,6.08,4.85,1.3802,7.72,9,NA,NA,39,37,124
"beef",35,5.714285714,4.74,3.0026,6.58,4,10,NA,32,29,81
"beefcake",34,4.458333333,3.9,1,NA,8,NA,NA,34,32,66
"beefsteak",32,5.227272727,4.76,1.5798,10.26,9,NA,NA,27,25,75
"beer",47,5.791666667,4.88,3.5856,6.11,4,22,125,37,36,109
"beet",40,5.32,4.8,1.1761,6.56,4,11,NA,33,27,100
"beetle",24,5.166666667,4.83,2.0253,5.32,6,4,648,26,21,39
"beggar",26,4.28,4.59,2.1038,7.63,6,14,662,27,21,46
"bell",40,5.76,4.96,3.3025,3.89,4,11,100,29,25,77
"bellboy",28,4.8,4.39,1.8062,7.95,7,NA,NA,29,22,48
"bellflower",53,4.428571429,4.26,0.6021,NA,10,NA,NA,32,30,97
"bellman",32,4.32,4.89,1.7482,10.11,7,NA,NA,29,19,55
"belly",38,5.846153846,4.8,2.9004,4.05,5,12,428,32,24,62
"belongings",35,5.173913043,3.88,2.1903,9.17,10,NA,NA,29,22,52
"belt",40,5.80952381,4.9,3.0945,4.62,4,11,108,36,33,80
"bench",34,6.166666667,4.87,2.6937,4.21,5,14,100,29,28,83
"beret",25,5.695652174,4.8,1.6902,10.33,5,NA,NA,27,24,45
"berry",39,5.523809524,4.93,2.2529,5.21,5,10,NA,36,31,94
"beverage",51,6.208333333,4.6,2.0792,6.63,8,5,135,34,30,113
"bib",23,5.375,4.79,1.415,4.53,3,NA,NA,27,24,58
"bible",43,5.826086957,4.61,2.9713,4.95,5,8,NA,38,35,104
"bicep",37,5.666666667,4.67,1.2304,8.67,5,NA,NA,34,29,73
"bicycle",35,6.08,4.89,2.5289,4.26,7,15,100,25,22,74
"bifocals",32,5.875,4.64,1,10.72,8,NA,NA,52,46,117
"bike",55,6.48,5,3.1209,4.79,4,18,NA,29,28,101
"bill",35,5.111111111,4.68,3.7812,6.42,4,16,NA,27,26,56
"billfold",19,5.444444444,4.71,1.1139,9.38,8,NA,NA,31,25,42
"billiards",25,4.925925926,4.61,1.5315,10.63,9,NA,NA,31,28,52
"bin",28,5.260869565,4.72,2.4393,4.68,3,NA,NA,35,29,64
"binoculars",42,6.16,5,1.9085,6.79,10,NA,NA,37,36,105
"biologist",25,4.48,3.96,1.8129,10.9,9,21,676,30,22,55
"bird",38,4.896551724,5,3.3653,3.52,4,23,667,34,32,79
"birdbath",27,4.916666667,4.96,1.0414,5.95,8,NA,NA,27,23,61
"birdseed",25,5.739130435,4.96,1.2788,6.7,8,NA,NA,34,28,77
"birthmark",22,4.333333333,4.35,1.9345,6.85,9,NA,NA,28,21,34
"biscuit",36,5.964285714,4.9,2.2833,4.63,7,22,112,31,27,82
"bistro",31,4.518518519,4.44,1.6721,11.79,6,NA,NA,26,23,62
"blackberry",36,5.416666667,4.97,1.5911,8.95,10,16,392,34,25,80
"blackboard",26,5.392857143,4.72,1.7853,5.42,10,9,NA,29,29,69
"blackhead",24,4.739130435,4.71,0.699,10.83,9,NA,NA,46,38,81
"blade",39,5.833333333,4.93,2.8222,6.72,5,9,113,38,36,120
"blanket",31,6.56,5,2.8215,3.61,7,9,108,27,24,77
"blazer",28,5.652173913,4.79,1.7993,9.6,6,NA,NA,33,32,74
"bleach",32,5.32,4.74,2.0755,8,6,15,NA,28,26,84
"bleacher",43,5.083333333,4.14,0.6021,NA,8,NA,NA,36,34,111
"blender",30,5.739130435,5,1.9345,6.84,7,17,NA,27,24,62
"blindfold",37,5.125,4.57,1.9494,8.11,9,NA,NA,33,31,66
"blister",29,5.2,4.71,1.6902,6.74,7,NA,NA,32,23,48
"block",45,5.413793103,4.48,3.3156,4.79,5,27,NA,32,26,82
"bloke",31,4.541666667,3.89,2.3784,13.88,5,NA,NA,25,20,45
"blood",41,5.32,4.86,3.9774,4.89,5,20,404,31,27,64
"bloodhound",44,4.833333333,4.76,1.7076,11.32,10,NA,NA,36,30,87
"bloomers",41,4.4,4.26,1.3979,9.24,8,NA,NA,29,22,73
"blouse",39,6.47826087,4.96,2.4362,6.65,6,11,104,32,31,82
"blower",24,4.48,4.07,1.2553,8.32,6,NA,NA,28,26,43
"blowgun",37,4.625,4.83,0.6021,10.89,7,NA,NA,27,23,54
"blowtorch",29,5.541666667,4.93,1.6435,9.94,9,NA,NA,27,24,54
"blueberry",34,6,4.96,2.1206,6.22,9,10,435,29,27,92
"bluefish",30,4.48,4.79,0.9542,8.76,8,NA,NA,27,26,78
"blueprint",28,4.833333333,4.77,1.8062,9.39,9,20,NA,25,23,43
"boa",36,4.333333333,4.92,1.8261,9.56,3,NA,NA,32,22,56
"board",47,4.48,4.57,3.5149,6.37,5,21,NA,27,24,76
"boardinghouse",25,4.565217391,4.5,0.8451,10.95,13,NA,NA,26,21,51
"boat",49,5.130434783,4.93,3.689,3.84,4,16,127,25,20,73
"boathouse",46,4.52173913,4.78,1.6021,10.21,9,NA,NA,33,29,80
"boatman",32,4.76,4.73,1.4914,8.72,7,NA,NA,27,25,52
"bobsleigh",28,5.64,4.77,1.1139,8.69,9,NA,NA,29,27,59
"bodice",24,4.80952381,4.78,1.0792,14.5,6,NA,NA,26,22,43
"body",67,6.038461538,4.79,3.9988,4.28,4,31,619,28,24,117
"bodybuilder",31,4.958333333,4.43,1.1761,10.75,11,NA,NA,30,23,54
"bodyguard",28,4.72,4.75,2.4669,10,9,NA,NA,27,25,56
"bolt",34,4.925925926,4.67,2.5465,7.28,4,11,NA,33,31,72
"bomb",39,4.384615385,4.84,3.4373,8,4,17,118,28,27,73
"bonbon",30,4.807692308,4.61,1.415,9.28,6,NA,NA,29,27,73
"bondsman",33,4.416666667,3.79,1.4314,13.83,8,NA,NA,29,22,44
"bone",41,5.259259259,4.9,3.1239,5.53,4,19,348,34,27,65
"bong",20,5.6,4.27,2.1553,14.16,4,NA,NA,29,28,51
"bonnet",29,6.043478261,4.93,1.9823,6.83,6,NA,NA,27,25,57
"book",48,6.47826087,4.9,3.9555,3.68,4,15,148,31,29,103
"bookbinder",18,4.75,4.93,0.6021,NA,10,NA,NA,26,21,29
"bookcase",18,5.56,4.93,1.6902,5.63,8,NA,NA,29,23,45
"bookend",22,5.291666667,4.32,0.4771,8.88,7,NA,NA,28,23,53
"bookkeeper",45,4.458333333,4.64,1.8195,9.15,10,NA,NA,28,26,69
"booklet",34,5.5,4.72,1.4624,7.32,7,NA,NA,27,25,74
"bookmark",33,5.857142857,4.9,1.3424,8.26,8,NA,NA,27,26,58
"bookmarker",28,4.576923077,4.62,0.301,6.75,10,NA,NA,29,26,56
"bookseller",22,5,4.43,0.7782,7.37,10,NA,NA,28,26,56
"bookshelf",32,5.727272727,4.93,1.2553,7.68,9,NA,NA,27,25,72
"boomerang",28,5.666666667,4.7,1.6812,9.79,9,NA,NA,27,26,69
"boot",31,6.555555556,4.96,2.7551,3.89,4,13,100,48,45,126
"booth",43,4.92,4.42,3.017,7.16,5,18,NA,34,31,88
"bootlace",32,5.64,4.54,0.301,10.18,8,NA,NA,36,34,83
"booze",32,5.84,4.48,2.7474,10.42,5,11,NA,28,26,65
"bosom",39,5.52,4.63,2.2041,12.5,5,NA,NA,30,24,54
"bottle",44,5.464285714,4.91,3.4131,3.56,6,20,100,28,23,82
"boulder",37,4.958333333,4.67,2.0294,7.92,7,8,NA,35,32,79
"bouquet",45,4.909090909,4.74,2.2175,8.72,7,3,348,36,29,91
"bourbon",22,5.173913043,4.93,2.5051,11.05,7,10,NA,27,24,54
"boutique",22,4.692307692,4.27,1.7482,9.78,8,NA,NA,26,22,52
"bowl",30,6.16,4.87,3.0394,4.26,4,22,104,27,21,65
"bowling",34,5,4.56,2.7372,7,7,13,NA,29,21,58
"box",42,6.291666667,4.9,3.6607,4.3,3,15,122,28,25,86
"boxer",37,4.608695652,4.63,2.2945,7.95,5,14,673,27,23,59
"boy",47,4.962962963,4.76,4.4317,3.67,3,10,692,33,25,76
"boyfriend",56,6.310344828,4.59,3.5664,6.89,9,12,692,37,34,119
"bra",39,6.52173913,4.54,2.7466,8.21,3,15,100,51,46,151
"brace",24,5.04,3.96,2.5051,7.89,5,NA,NA,24,24,46
"bracelet",38,6.5,4.96,2.601,5.68,8,13,110,28,23,70
"braid",33,5.64,4.38,1.6902,7.22,5,NA,NA,35,31,67
"branch",39,4.821428571,4.9,2.7118,5.11,6,11,429,26,23,69
"brandy",26,5.64,4.81,2.7543,12.1,6,10,NA,26,23,66
"brass",31,4.4,4.7,2.7917,9.05,5,19,NA,34,24,44
"bratwurst",30,5.434782609,4.82,1.3979,9.68,9,NA,NA,28,24,83
"bread",35,6.230769231,4.92,3.1602,3.58,5,15,156,29,26,85
"breadbasket",36,5.222222222,4,1.0414,8.61,11,NA,NA,31,27,68
"breakfast",31,6.173913043,4.43,3.5292,3.47,9,10,141,24,23,71
"breastbone",32,5.318181818,4.33,1,10.75,10,NA,NA,34,24,50
"breastplate",23,5.136363636,4.67,1.1139,12.39,11,NA,NA,27,22,39
"breasts",47,6.173913043,5,2.8028,8.03,7,NA,NA,59,47,138
"breeches",44,4.666666667,4.07,1.301,12.1,8,NA,NA,27,23,82
"brick",37,5.64,4.83,2.716,6.43,5,14,115,30,26,78
"bricklayer",32,4.84,4.42,1.0414,9.5,10,NA,NA,27,25,67
"brickwork",41,4.777777778,4.48,0.4771,11.18,9,NA,NA,35,30,80
"bridegroom",40,4.384615385,4.39,1.8692,11.33,10,NA,NA,33,27,66
"bridesmaid",29,5.08,4.41,2.1004,8.47,10,NA,NA,28,23,50
"bridge",25,5.52173913,4.97,3.3677,5.58,6,10,130,27,24,65
"briefcase",36,6.25,4.86,2.6425,6.37,9,19,NA,28,24,83
"briefs",23,5.64,4.33,1.6335,NA,6,NA,NA,29,20,45
"brisket",29,5.291666667,4.61,1.6812,12.11,7,NA,NA,25,23,63
"broach",37,5.041666667,3.74,1.3802,10.72,6,NA,NA,33,26,66
"broccoli",42,5.04,4.87,2.0682,5.2,8,13,465,38,34,119
"brochure",44,6.2,4.76,1.9912,9.58,8,NA,NA,30,27,74
"broiler",13,5.25,4.83,1.0414,9.63,7,NA,NA,28,25,43
"broker",47,4.464285714,4.03,2.2695,10.94,6,NA,NA,27,20,56
"brooch",33,5.130434783,4.19,1.8325,10.71,6,NA,NA,26,21,55
"broom",27,6.416666667,4.89,2.3874,5.5,5,11,123,39,37,85
"broomstick",27,6.043478261,4.8,1.6435,6.11,10,NA,NA,29,25,59
"broth",34,5.321428571,4.68,1.6628,9,5,4,NA,36,32,82
"brother",47,5.043478261,4.43,4.1608,3.63,7,10,696,34,29,102
"brow",33,4.416666667,4.39,1.9777,9.82,4,NA,NA,26,24,73
"brush",28,6.043478261,4.54,2.8591,3.78,5,6,165,50,44,113
"bubble",19,4.64,4.6,2.6117,3.79,6,8,136,27,26,59
"buck",27,4.291666667,4.67,3.236,7.68,4,11,NA,26,23,57
"bucket",42,6,4.96,2.7093,5.61,6,11,100,30,29,91
"buckle",44,4.846153846,4.71,2.4116,6.42,6,7,NA,37,33,80
"buckwheat",27,4.44,4.54,1.3979,8.69,9,NA,NA,29,24,69
"buddy",37,4.916666667,3.48,3.72,5.37,5,3,638,31,27,77
"buffalo",45,4.692307692,4.83,2.7839,6.7,7,21,NA,37,31,96
"buffet",25,5.409090909,4.67,2.356,7.58,6,NA,NA,25,24,50
"bug",39,5.296296296,5,3.029,3.79,3,16,692,36,31,85
"bugle",30,4.541666667,4.84,1.9494,8.88,5,13,NA,30,25,59
"builder",30,4.826086957,3.97,1.6902,5.95,7,18,648,29,25,54
"building",35,5.208333333,4.64,3.7058,6.16,8,20,104,28,26,69
"bulb",40,5.391304348,4.93,2.3032,6.56,4,7,113,39,36,92
"bulldozer",41,4.565217391,4.9,1.8261,5.61,9,NA,NA,28,27,62
"bullet",33,5.772727273,4.83,3.2903,6.7,6,13,120,32,30,72
"bullfighter",22,4.6,4.7,1.5441,8.78,11,NA,NA,25,20,36
"bullfrog",41,4.884615385,4.9,1.4314,6.33,8,NA,NA,29,24,75
"bully",37,4.857142857,3.92,2.567,6.05,5,20,664,37,27,69
"bum",35,4.346153846,4.21,2.8965,8.11,3,21,585,31,25,58
"bun",25,5.916666667,4.88,2.1703,5.79,3,12,NA,31,23,63
"bunion",32,4.36,4.64,1.5563,10.37,6,NA,NA,26,20,43
"bunk",28,4.260869565,4.3,2.5065,5.62,4,NA,NA,27,24,66
"bunkhouse",36,4.625,4.37,1.6232,10.2,9,NA,NA,34,29,67
"bunkmate",37,4.458333333,4,1.0792,10.74,8,NA,NA,35,30,65
"bunny",35,4.5,4.97,2.9763,4.5,5,7,696,28,24,62
"buoy",33,5.125,4.57,1.7853,9.76,4,NA,NA,34,31,68
"burger",31,6.111111111,4.93,2.7185,5.17,6,NA,NA,27,26,75
"burglar",20,4.260869565,4.44,2.4518,7,7,19,696,27,25,39
"burlap",26,5.333333333,4.78,1.0792,10.28,6,NA,NA,29,20,51
"bus",38,5.192307692,4.9,3.578,3.85,3,17,NA,28,25,82
"bush",28,4.8,4.9,2.8579,4.9,4,15,461,27,23,57
"businessman",37,5.25,4.47,2.6075,9.38,11,NA,NA,26,24,58
"businesswoman",45,5.08,4.35,1.415,11.11,13,NA,NA,34,25,58
"busman",35,4.68,3.91,0.6021,11.93,6,NA,NA,29,26,58
"butcher",27,4.739130435,4.65,2.6385,7.9,7,12,NA,26,24,49
"butt",49,5.652173913,4.75,3.294,3.73,4,14,NA,35,29,80
"butter",40,6.217391304,4.9,3.0183,5.78,6,15,142,38,34,122
