"cues","AFSS","BOI","Concrete","SUBTLEX","AoA","Length","QSS","Animacy","n.unique","n.unique.affordance","total.affordance"
"buttercup",34,5.48,4.71,2.0864,6.9,9,NA,NA,28,25,61
"buttermilk",25,4.826086957,4.68,1.7993,7.6,10,NA,NA,36,29,70
"butterscotch",22,4.769230769,4.58,1.415,6.78,12,NA,NA,27,21,50
"buttocks",26,6.434782609,4.83,1.9731,7.72,8,NA,NA,55,48,121
"button",38,6.153846154,4.96,3.159,4.78,6,16,117,28,24,61
"buttonhole",17,5.074074074,4.7,1.0792,6.84,10,NA,NA,27,20,26
"buttonhook",31,4.45,4.04,0.6021,10.67,10,NA,NA,27,24,45
"bystander",33,4.791666667,4.17,1.6628,11.06,9,NA,NA,31,25,58
"cab",32,5.6,4.88,3.2617,6.94,3,9,NA,31,31,80
"cabbage",43,5.608695652,4.75,2.1732,5.78,7,15,422,31,29,93
"cabdriver",32,5.12,4.79,1.1761,8.57,9,NA,NA,29,26,56
"cabin",43,4.56,4.92,3.0013,6.39,5,9,115,36,35,81
"cabinet",19,5.64,4.89,2.6294,6.06,7,16,104,35,27,63
"cable",39,4.913043478,4.74,3.0449,9.2,5,8,NA,32,29,69
"cactus",35,4.5,5,2.1732,6.72,6,15,NA,53,44,116
"caddy",31,4.913043478,4.32,2.1644,NA,5,NA,NA,25,24,55
"cadet",27,4.291666667,4.21,2.248,9.68,5,NA,NA,30,21,38
"cadillac",33,5.12,4.93,2.4669,NA,8,NA,NA,30,24,82
"cafe",29,4.772727273,4.96,2.4133,8.75,4,15,NA,26,22,67
"cafeteria",24,4.8,4.71,2.4624,7.15,9,9,NA,28,25,70
"cage",31,5.291666667,5,3.0149,5.06,4,18,NA,30,24,55
"cake",36,6.086956522,4.81,3.3615,3.26,4,19,122,29,27,97
"calculator",36,6.24,4.86,1.8261,8.22,10,12,NA,32,27,82
"calender",23,5.84,4.82,0.6021,NA,8,NA,NA,29,26,58
"calf",30,5.08,4.48,2.1818,6.63,4,7,684,55,46,114
"calipers",21,4.666666667,4.78,0.301,NA,8,NA,NA,26,22,37
"camel",38,4.52173913,4.93,2.4099,5.11,5,11,664,28,23,77
"camera",27,6.086956522,5,3.4636,6,6,8,115,29,26,56
"camisole",29,5.476190476,4.81,0.7782,13.72,8,NA,NA,27,23,59
"can",35,4.88,4.55,5.4275,4.32,3,20,NA,27,24,80
"candidate",35,4.739130435,3.81,2.6385,10.39,9,17,640,28,24,55
"candle",30,5.166666667,4.86,2.6128,5.37,6,8,119,32,32,88
"candlestick",20,6,4.93,1.415,5.61,11,NA,NA,26,22,49
"candy",45,6.4,4.83,3.2615,4,5,14,119,27,26,101
"cane",45,6.068965517,4.87,2.6294,5.74,4,14,155,32,29,83
"canine",31,5.375,4.71,1.9395,8.45,6,NA,NA,30,20,72
"cannabis",30,5.666666667,4.69,1.3802,13.33,8,NA,NA,26,23,74
"cannonball",37,4.304347826,4.8,1.8692,6.39,10,NA,NA,27,26,61
"canoe",38,5.818181818,4.86,2.2625,6.63,5,8,100,27,25,71
"cantaloupe",42,5.666666667,4.76,1.5911,7.22,10,NA,NA,26,23,67
"canteen",43,5.607142857,4.88,1.9445,9.04,7,NA,NA,37,33,87
"canvas",42,5.590909091,4.78,2.3365,8.15,6,16,NA,65,62,175
"cap",40,5.826086957,4.59,2.9809,5.53,3,6,NA,27,26,73
"cape",24,5.416666667,4.77,2.6243,6.9,4,20,NA,54,46,107
"capsule",25,5.041666667,4.52,2.1173,10.44,7,NA,NA,28,24,50
"captain",27,4.913043478,4.19,4.0262,6.06,7,13,696,31,25,51
"car",53,6.035714286,4.89,4.3916,3.37,3,25,118,25,24,97
"caramel",22,5.28,4.73,1.8062,6.58,7,NA,NA,26,23,48
"card",41,5.56,4.9,3.6393,6.2,4,21,NA,24,23,69
"cardboard",52,5.739130435,4.9,2.143,5.4,9,6,NA,27,27,84
"cardigan",36,6.130434783,4.96,1.4771,10.11,8,NA,NA,30,24,79
"caretaker",37,5.071428571,4.24,2.1004,9.75,9,NA,NA,33,31,77
"carnival",40,5.125,4.68,2.5611,6.95,8,14,NA,39,32,77
"carp",19,4.52173913,4.62,1.6021,11.42,4,NA,NA,26,24,52
"carpenter",26,5.464285714,4.41,2.4871,7.39,9,18,674,29,25,55
"carpet",33,6.041666667,4.96,2.7745,6.05,6,17,NA,63,56,149
"carport",26,4.28,4.79,0.7782,11.19,7,NA,NA,26,22,61
"carriage",34,5.08,4.86,2.5821,5.84,8,13,112,33,31,87
"carrot",30,6.043478261,5,2.2923,2.74,6,16,404,25,22,71
"cart",26,5.4,4.89,2.6646,6.16,4,16,104,35,33,92
"carton",22,5,5,1.9868,7,6,7,NA,25,22,55
"cartridge",24,5.12,4.78,1.699,10.95,9,NA,NA,29,23,38
"case",30,4.272727273,3.93,4.1585,6.74,4,22,NA,33,29,60
"caseworker",37,4.32,4.37,1.1761,10.22,10,NA,NA,33,28,58
"cash",27,6.36,4.48,3.5676,4.84,4,4,NA,25,23,65
"cashier",39,4.888888889,4.89,2.2253,6.74,7,9,620,29,23,60
"cashmere",35,4.875,4.72,1.8921,13.05,8,NA,NA,33,23,72
"casket",38,4.714285714,4.86,2.2122,8.26,6,8,NA,30,26,70
"casserole",41,5.88,4.87,1.9345,7.32,9,NA,NA,35,30,94
"cassette",25,5.148148148,4.6,1.9731,6.37,8,NA,NA,30,29,86
"castle",50,4.307692308,4.96,3.0414,5.8,6,16,135,29,23,66
"cat",34,5.913043478,4.86,3.5294,3.68,3,3,700,29,25,55
"catalogue",41,5.916666667,4.36,2.0374,7.84,9,NA,NA,27,24,69
"catapult",23,4.84,4.43,1.5051,10.56,8,NA,NA,29,26,42
"caterpillar",29,5.083333333,4.87,1.7634,5.17,11,10,660,30,20,46
"catfish",53,5,4.85,1.8062,6.61,7,NA,NA,37,34,133
"cathedral",35,4.5,4.86,2.281,10.58,9,9,117,33,29,69
"catnip",25,4.52,4.68,1.3424,6.89,6,NA,NA,26,21,37
"cattle",42,4.625,4.64,2.8293,6.53,6,14,681,34,25,74
"catwalk",37,4.652173913,4.15,1.5682,10.32,7,NA,NA,29,26,71
"cauldron",24,4.8,4.61,1.3979,9.61,8,NA,NA,28,26,56
"cauliflower",33,5.269230769,5,1.4624,6.18,11,10,504,29,29,96
"caviar",35,4.818181818,4.7,2.2923,12.83,6,NA,NA,35,33,78
"cayenne",35,5.347826087,4.22,1.5911,12.81,7,NA,NA,28,26,66
"cedar",29,4.583333333,4.83,2.1072,9.86,5,NA,NA,32,27,74
"celery",31,6.086956522,4.8,1.9823,5.78,6,12,521,33,27,73
"cellar",19,4.6,4.68,2.6803,8.94,6,10,104,36,29,51
"cello",33,5.038461538,4.96,1.9823,9.89,5,13,NA,25,23,61
"cellophane",24,4.703703704,4.54,1.6335,11.47,10,NA,NA,33,28,56
"cement",39,5.04,4.97,2.3711,6.89,6,12,NA,27,24,73
"cent",26,5.12,4.19,2.6848,6,4,7,NA,31,23,50
"centipede",33,5.25,4.79,1.3617,7.39,9,NA,NA,26,20,56
"ceramic",33,4.62962963,4.04,1.7993,8.37,7,13,NA,34,23,63
"ceramics",34,5.458333333,4.62,1.4771,9.5,8,15,NA,27,25,73
"cereal",20,5.958333333,4.83,2.5119,4.44,6,11,119,26,23,40
"certificate",58,5.041666667,4.59,2.6618,8.42,11,NA,NA,35,29,105
"chain",34,5.958333333,4.55,3.0346,5.22,5,14,NA,27,24,57
"chair",51,6.88,4.58,3.4,3.43,5,14,104,39,39,137
"chairman",38,4.965517241,4.31,2.7825,10.84,8,NA,NA,32,26,52
"chairperson",39,4.44,4.58,0.8451,11,11,18,NA,25,19,51
"chairwoman",42,4.347826087,4.41,1.0414,12.95,10,NA,NA,33,28,53
"chalet",38,4.416666667,4.36,1.4314,13.8,6,NA,NA,25,21,72
"chalice",22,5.208333333,4.83,1.5185,11.35,7,NA,NA,29,26,57
"chalk",31,5.92,4.9,2.2648,4.47,5,7,100,27,25,67
"chambermaid",39,4.727272727,4.4,1.5051,11.72,11,NA,NA,30,23,61
"champagne",33,5.583333333,4.82,3.2033,10.26,9,14,NA,36,32,92
"chapel",41,4.52,4.6,2.6096,6.95,6,11,NA,31,30,89
"chaplain",39,4.72,4.33,2.0682,12.19,8,NA,NA,32,24,58
"charcoal",30,4.740740741,4.85,1.959,8,8,11,NA,28,26,71
"chart",38,4.428571429,4.48,2.6848,7.59,5,18,NA,36,31,76
"chauffeur",28,4.84,4.43,2.4594,9.84,9,5,632,25,22,50
"checkbook",37,5.666666667,4.97,2.0828,8.67,9,11,NA,35,32,84
"checkerboard",27,5.391304348,4.96,0.7782,6.74,12,NA,NA,28,23,52
"checklist",35,4.464285714,4.61,1.6021,7.78,9,NA,NA,32,28,65
"cheddar",35,5.291666667,4.46,1.9638,7.14,7,2,NA,25,21,64
"cheek",43,5.481481481,4.83,2.5635,5.06,5,16,484,26,23,87
"cheekbone",29,4.88,4.71,1.1761,7.17,9,NA,NA,25,22,51
"cheerleader",21,5.285714286,4.9,2.5185,6,11,29,688,28,22,43
"cheese",34,6.391304348,4.7,3.2993,4.33,6,17,176,33,29,85
"cheeseburger",41,NA,4.93,2.2148,4.78,12,NA,NA,30,30,103
"cheesecake",39,6.458333333,4.97,2.0755,8.11,10,NA,NA,32,26,87
"cheesecloth",29,5.52173913,4.8,0.4771,13.2,11,NA,NA,27,25,51
"chef",54,4.64,4.3,2.7832,8.3,4,6,692,27,27,81
"chemicals",47,5.04,4.14,2.4654,9.7,9,NA,NA,32,29,81
"cherry",39,5.454545455,4.62,2.8414,5.58,6,16,485,35,31,97
"chessboard",32,6.04,4.68,1.2553,8.37,10,NA,NA,32,29,70
"chest",47,5.851851852,4.93,3.3204,5.05,5,22,292,38,33,86
"chestnut",31,5.555555556,4.7,1.8195,6.55,8,NA,NA,27,26,75
"chevy",32,4.956521739,4.48,2.2455,NA,5,NA,NA,28,27,70
"chick",28,4.47826087,4.93,3.1255,5.53,5,12,692,34,20,49
"chicken",38,5.5,4.8,3.4982,3.26,7,29,670,26,24,97
"chickenfeed",24,4.72,4.78,0.6021,NA,11,NA,NA,33,29,59
"chihuahua",47,6.25,4.38,1.8633,NA,9,NA,NA,28,23,76
"child",42,5.695652174,4.78,3.9053,5.15,5,15,684,31,26,82
"childbirth",29,4.391304348,4.04,1.8976,9.25,10,NA,NA,35,25,42
"children",25,5.52,4.89,3.9509,4.1,8,17,685,29,23,56
"chili",36,5.291666667,4.79,2.5832,6.61,5,17,NA,33,30,75
"chimney",17,4.730769231,5,2.3304,6.58,7,14,132,27,20,36
"chimpanzee",46,4.260869565,4.96,1.7993,7.26,10,7,658,29,24,66
"chin",40,5.884615385,4.89,2.8116,4.22,4,NA,NA,29,25,70
"chinaware",35,5.913043478,4.82,0.4771,10.05,9,NA,NA,35,31,79
"chinchilla",44,4.925925926,4.72,1.4472,12.67,10,NA,NA,33,29,83
"chip",37,5.181818182,4.71,3.022,5.89,4,15,NA,26,24,59
"chiropractor",23,5.5,4.86,1.6628,12.67,12,NA,NA,24,24,43
"chisel",41,5.333333333,4.63,1.6628,10.53,6,25,NA,25,23,60
"chocolate",31,6.307692308,4.72,3.1761,3.33,9,17,133,26,24,74
"chopsticks",34,6.391304348,5,1.9731,7.85,10,NA,NA,56,54,150
"choreographer",25,4.826086957,4.23,1.7324,12.25,13,NA,NA,28,26,54
"chow",26,4.642857143,4.47,2.5453,7.89,4,NA,NA,28,21,46
"chowder",32,4.96,4.7,1.9191,8,7,4,NA,26,25,71
"chronograph",25,4.684210526,4.19,0.4771,13.4,11,NA,NA,24,23,40
"chronometer",28,4.5,4.11,1.0792,14.23,11,NA,NA,29,23,51
"chrysanthemum",34,5.727272727,4.57,1.1139,8.47,13,NA,NA,29,25,58
"cider",27,4.958333333,4.97,1.9912,5.83,5,NA,NA,31,30,69
"cigar",25,5.962962963,4.93,2.8202,7.67,5,7,108,27,25,52
"cigarette",28,6.272727273,4.88,3.1329,6.39,9,11,NA,26,21,53
"citrus",35,4.6,4.21,1.4314,6.63,6,5,NA,33,31,76
"clam",40,4.375,4.89,2.3032,7.37,4,19,593,25,22,64
"clamp",25,5.36,4.53,2.5453,10.89,5,21,NA,26,20,41
"clamshell",31,4.347826087,4.82,0.6021,8.11,9,NA,NA,27,22,51
"clarinet",43,5.923076923,4.92,1.9085,9.22,8,9,104,34,31,83
"classmate",38,5.363636364,4.32,1.8976,7.15,9,NA,NA,26,24,64
"claw",33,4.391304348,4.83,2.3502,4.7,4,15,222,29,26,65
"clay",34,5.52,4.93,2.7875,5.32,4,24,124,30,26,79
"cleat",29,4.5,4.5,1.3617,9,5,NA,NA,30,27,66
"cleavage",19,4.625,4.64,1.8513,12.95,8,NA,NA,27,20,34
"cleavers",33,5.48,4.56,0.4771,NA,8,NA,NA,28,24,61
"clergy",40,4.48,4.03,1.6902,10.15,6,NA,NA,25,19,46
"clerk",45,4.68,4.28,2.8189,6.74,5,21,681,30,24,68
"client",41,4.545454545,3.9,3.4339,12.05,6,NA,NA,31,24,60
"cliff",24,4.64,4.71,3.0418,7.28,5,12,NA,32,27,65
"clip",38,4.833333333,4.37,2.4639,6.61,4,NA,NA,54,47,125
"clipboard",27,5.652173913,4.93,1.5911,7.76,9,NA,NA,26,25,64
"clipper",19,4.923076923,4.3,1.7782,9.56,7,NA,NA,28,25,79
"clitoris",31,6.090909091,4.93,1.7404,14,8,NA,NA,33,28,68
"cloak",33,5.791666667,4.71,2.1875,6.95,5,11,125,25,23,63
"clock",33,4.714285714,5,3.4758,4.42,5,7,119,28,26,72
"closet",28,4.962962963,4.83,3.1405,5,6,14,100,39,35,93
"cloth",30,5.961538462,4.9,2.4942,5.3,5,21,NA,26,22,88
"clothes",43,6.08,4.76,3.7126,3.11,7,26,NA,49,44,169
"clothesline",34,5.333333333,4.86,1.3424,6.67,11,NA,NA,28,28,84
"clothespin",31,5.12,4.41,1.2041,7.83,10,NA,NA,31,29,66
"clove",29,5.086956522,4.42,1.4314,10.88,5,14,370,28,25,63
"clover",49,4.695652174,4.69,1.8325,5.74,6,NA,NA,39,36,96
"cloverleaf",34,4.565217391,4.86,1.0414,6.35,10,NA,NA,35,26,65
"club",46,5.458333333,3.78,3.7023,5.89,4,22,139,36,33,95
"clubhouse",44,4.28,4.61,1.9191,7.44,9,NA,NA,34,29,72
"coachman",42,4.739130435,4.12,1.4914,11.39,8,NA,NA,28,22,55
"coal",33,4.875,4.66,2.5263,6.65,4,14,126,33,31,77
"coaster",28,5.333333333,4.68,2.2041,7.89,7,NA,NA,29,24,63
"coat",24,6.565217391,4.97,3.3318,3.58,4,17,117,27,25,67
"cobblestone",25,5.086956522,4.79,0.9542,10.5,11,NA,NA,26,23,56
"cobweb",36,4.916666667,4.92,1.0414,7.5,6,5,NA,35,27,58
"cocaine",32,5.913043478,4.52,2.6253,12.16,7,17,NA,32,23,69
"cock",40,5.04,4.79,2.7642,11.32,4,NA,NA,30,22,51
"cockatoo",33,4.666666667,4.73,0.9542,9.44,8,NA,NA,36,26,73
"cocktail",44,5.481481481,4.4,2.7451,9.53,8,13,108,30,29,107
"cocoa",32,5.625,4.89,2.4099,6.84,5,NA,NA,33,23,71
"coconut",45,5.64,4.79,2.3711,6.5,7,NA,NA,28,25,98
"cod",22,4.458333333,4.61,2.0607,11.5,3,10,NA,26,21,51
"coffee",40,5.538461538,4.81,3.8676,4.94,6,13,172,28,26,80
"coffeepot",24,6.037037037,4.64,1.3424,5.53,9,NA,NA,28,26,65
"coffin",26,5.52,4.86,2.6646,7.79,6,8,136,28,20,47
"coin",44,6.4,4.89,2.6972,4.17,4,12,100,32,26,78
"coke",34,6.2,4.83,2.9773,4.74,4,9,NA,36,33,90
"cola",22,5.565217391,4.79,2.4518,4.33,4,NA,NA,24,23,57
"colander",20,6,4.21,0.8451,9,8,NA,NA,25,25,55
"coleslaw",29,4.72,4.67,1.8062,6.72,8,21,NA,30,26,72
"collar",27,5.12,4.64,2.73,6.56,6,14,104,34,24,49
"collarbone",18,5.48,4.85,1.6335,8.89,10,NA,NA,29,21,37
"colleague",30,5.724137931,3.79,2.5403,12.42,9,NA,NA,27,24,73
"collie",34,5.730769231,4.77,1.7324,7.05,6,NA,NA,31,23,81
"cologne",42,5.541666667,4.76,2.2095,8.26,7,8,NA,37,36,100
"colt",45,4.916666667,4.96,2.4281,8.98,4,9,NA,27,23,75
"comb",27,5.923076923,5,2.4914,5.5,4,2,NA,36,34,62
"comforter",39,6.16,4.7,1.3222,8.61,9,NA,NA,38,34,91
"comic",42,4.88,4,2.7427,7,5,NA,NA,35,28,79
"committeewoman",47,4.857142857,4.33,0.4771,13.75,14,NA,NA,26,25,64
"commode",36,5.481481481,4.54,1.2041,10.56,7,NA,NA,31,25,62
"companion",50,5.739130435,3.75,2.5105,9.58,9,11,627,27,23,64
"compass",35,5.538461538,4.66,2.3181,8.44,7,13,100,64,57,140
"compost",27,5.041666667,4.46,1.4624,9.72,7,NA,NA,34,31,55
"compressor",45,4.5,4.39,1.415,12.32,10,NA,NA,34,31,65
"computer",47,6.714285714,4.93,3.4789,9.7,8,33,150,27,24,98
"concert",36,4.714285714,4.35,2.9523,8.95,7,15,NA,28,25,83
"conch",27,4.285714286,4.52,1.3222,10.5,5,NA,NA,27,23,60
"concrete",46,5.166666667,4.59,2.5798,7.44,8,15,NA,28,25,81
"condiment",46,5.76,4.72,0.9542,9.45,9,NA,NA,38,29,89
"conditioner",26,5.130434783,4.21,2.0453,7.68,11,6,NA,31,24,55
"condom",35,6.346153846,4.87,2.4216,12,6,8,NA,36,33,66
"condominium",40,4.678571429,4.35,1.2553,12.05,11,NA,NA,29,25,85
"conductor",32,4.75,4.26,2.1931,7.44,9,13,656,32,29,50
"cone",29,4.608695652,4.86,2.1761,4.67,4,9,NA,26,22,54
"confetti",31,4.76,4.93,1.6721,7.39,8,NA,NA,36,32,70
"congresswoman",33,4.32,4.48,1.2304,11.37,13,NA,NA,28,23,52
"container",40,5.461538462,4.85,2.3424,6.5,9,20,NA,30,26,77
"contraceptive",24,5.391304348,3.89,1.2553,14.06,13,NA,NA,26,23,38
"controller",27,5.458333333,4.33,1.8261,10.32,10,NA,NA,35,22,49
"cookbook",57,5.68,4.9,1.5798,7.22,8,12,NA,30,29,101
"cookhouse",22,4.423076923,4.62,0.301,10.71,9,NA,NA,27,23,52
"cookie",38,6.5,5,2.9309,3.37,6,17,NA,28,24,86
"cooler",39,5.625,4.14,2.5575,6.11,6,10,NA,29,26,75
"cop",47,4.458333333,4.3,3.6429,4.94,3,16,654,28,25,68
"copier",21,5.136363636,4.72,1.5185,8.17,6,14,NA,33,30,69
"copilot",38,4.791666667,4.59,1.7404,8.72,7,NA,NA,28,25,62
"copper",33,4.833333333,4.52,2.5276,7.95,6,17,NA,32,25,58
"copybook",26,5,4.67,0.699,10.38,8,NA,NA,32,26,61
"cord",39,6.103448276,4.63,2.5551,6,4,13,104,31,28,81
"corduroy",24,5.041666667,4.56,1.5441,10.47,8,NA,NA,26,18,40
"cork",39,5.636363636,4.86,2.1673,9.05,4,7,NA,30,22,65
"corkscrew",30,6.04,4.85,1.7634,7.78,9,NA,NA,26,23,52
"corn",41,6,4.96,2.8609,4.61,4,14,491,36,35,118
"cornbread",35,5.16,4.79,1.6721,6.4,9,NA,NA,35,35,102
"cornfield",41,4.739130435,4.96,1.5682,6.42,9,NA,NA,42,38,99
"cornflakes",34,5.6,4.82,1.415,5.32,10,NA,NA,29,27,79
"cornflower",22,4.739130435,4.71,0.6021,8.05,10,NA,NA,27,21,45
"cornmeal",21,5.913043478,4.83,1.1139,6.84,8,NA,NA,25,22,61
"cornstarch",27,5.043478261,4.56,1,9.47,10,NA,NA,30,26,58
"corridor",41,4.5,4.72,2.4548,9.11,8,5,113,28,27,79
"corsage",17,5.782608696,4.38,1.6902,11.47,7,NA,NA,26,20,34
"corset",35,5.44,4.48,1.6628,10.67,6,NA,NA,30,23,48
"corvette",33,5.875,4.76,1.8451,NA,8,NA,NA,38,33,95
"cosmetics",25,5.75,4.72,1.9956,NA,9,13,NA,29,21,47
"costume",38,6.28,4.57,2.8585,4.17,7,18,100,35,28,73
"costumer",41,4.434782609,4.04,0.9542,10.95,8,NA,NA,27,20,48
"cottage",30,4.52173913,4.85,2.433,8.5,7,11,150,27,23,62
"cotton",37,5.28,4.97,2.8597,6,6,19,276,31,27,59
"couch",31,6.260869565,4.71,3.0785,3.74,5,12,112,29,29,105
"council",35,4.321428571,2.73,2.9365,10.63,7,NA,NA,27,21,51
"councilman",37,4.869565217,4.26,1.8633,11.91,10,NA,NA,27,21,47
"councilwoman",36,4.583333333,4.59,0.9031,11.65,12,NA,NA,30,20,48
"counselor",21,4.375,4.24,2.705,9.33,9,NA,NA,26,25,53
"countrywoman",46,4.44,4.25,0.7782,10.06,12,NA,NA,28,22,59
"coupon",26,4.821428571,4.79,2.0492,7.25,6,NA,NA,27,25,47
"courtyard",37,4.392857143,4.57,2.0414,9.95,9,NA,NA,27,23,62
"cousin",22,5.375,3.7,3.3965,4.95,6,11,700,30,19,40
"coverall",32,4.739130435,4.36,0.6021,9.32,8,NA,NA,33,28,67
"cow",35,5.434782609,4.96,3.1146,3.94,3,10,692,38,35,101
"cowhide",33,4.6,4.76,0.9031,11.44,7,NA,NA,28,25,49
"cowskin",26,4.652173913,4.81,0.301,9.11,7,NA,NA,31,27,56
"crab",25,4.889189189,4.9,2.5478,5.28,4,21,650,27,24,59
"crabgrass",39,4.956521739,4.52,0.8451,10.83,9,NA,NA,25,23,61
"cracker",36,5.24,4.96,2.4698,4.9,7,18,NA,64,59,183
"cradle",33,5.652173913,4.93,2.1644,5.22,6,5,104,39,36,73
"craftsman",33,4.833333333,4,1.6812,8.8,9,NA,NA,33,28,52
"cranberry",26,5.458333333,4.96,2,6.45,9,NA,NA,25,23,68
"crane",28,4.695652174,4.68,3.2343,6.78,5,11,NA,26,22,56
"crap",25,4.666666667,3.67,3.4986,6.5,4,NA,NA,32,21,41
"crate",37,5.304347826,4.93,2.3222,7.06,5,NA,NA,28,25,63
"crawfish",33,4.666666667,5,1.1461,8.74,8,NA,NA,33,28,84
"crayfish",26,5.043478261,4.93,0.4771,9.35,8,NA,NA,26,22,63
"crayon",36,6.36,4.87,1.3424,3.2,6,12,NA,34,29,114
"cream",39,5.153846154,4.83,3.3953,5.95,5,14,NA,38,30,79
"creamer",22,5.24,4.66,1.5682,8.72,7,NA,NA,37,25,49
"creature",42,4.833333333,4.07,3.0386,7.32,8,17,639,28,23,63
"creek",29,4.52,4.87,2.658,5.89,5,13,242,28,26,68
"crepe",34,5.416666667,4.5,1.6335,10.89,5,NA,NA,34,30,91
"crewman",37,4.291666667,4.39,1.7076,10,7,NA,NA,26,21,52
"crib",24,5.56,4.86,2.5011,6.05,4,4,NA,26,20,54
"cricket",27,4.653846154,4.77,2.1614,7.72,7,14,669,27,23,54
"crisps",34,5.130434783,4.04,1.1461,NA,6,NA,NA,37,34,82
"critter",50,4.863636364,4.19,1.8195,7.14,7,NA,NA,36,27,78
"crocodile",31,4.291666667,4.83,2.0645,5.11,9,14,683,26,20,53
"croissant",26,6,4.96,1.6628,10.15,9,NA,NA,30,22,59
"crop",28,4.833333333,4.24,2.3962,7.63,4,NA,NA,27,22,70
"croquet",23,4.84,4.59,1.6532,11.06,7,NA,NA,33,27,61
"croquette",25,4.681818182,4.24,0.4771,9.08,9,NA,NA,26,21,49
"cross",26,5,4.44,3.4484,4.74,5,18,108,35,23,51
"crossbar",40,5.043478261,4.57,0.7782,11.1,8,NA,NA,35,28,63
"crossbow",32,5.541666667,4.77,1.7559,10.67,8,NA,NA,26,26,70
"crosswalk",23,4.714285714,4.62,1.3424,6.61,9,NA,NA,32,28,72
"crossword",37,4.555555556,4.48,1.9542,7.21,9,NA,NA,34,23,60
"crotch",20,5.6,4.77,2.1492,8.94,6,NA,NA,31,20,29
"crouton",28,5.724137931,4.9,1.1461,8.17,7,NA,NA,28,21,58
"crowbar",37,6.25,4.87,1.8261,8.72,7,NA,NA,34,31,77
"crown",33,6.173913043,4.81,2.8445,7.8,5,8,104,30,23,60
"crucifix",37,5.68,4.45,1.7853,9.05,8,NA,NA,32,27,64
"cruiser",31,4.304347826,3.78,2.2122,10.26,7,NA,NA,29,25,58
"crumb",28,4.45,4.8,1.9685,5.89,5,12,126,33,25,79
"crumpet",30,5.136363636,4.81,1.2553,11.85,7,NA,NA,32,30,76
"crust",37,5.125,4.59,2.2227,5.95,5,7,NA,37,30,86
"crutch",33,5.8,4.5,1.8325,7.21,6,21,119,30,29,70
"crypt",36,4.541666667,4.75,1.8513,10.68,5,NA,NA,31,22,57
"crystal",35,4.37037037,4.58,2.9159,7.78,7,15,115,35,27,62
"cube",41,4.75,4.62,2.1847,7.32,4,11,NA,31,25,68
"cubical",31,4.36,4.21,0.301,11.2,7,NA,NA,31,26,64
"cucumber",26,6.04,4.83,2.0086,5.72,8,8,438,25,22,65
"cuff",29,5.333333333,4.61,2.4654,8.44,4,12,NA,25,20,40
"cuisine",36,4.652173913,3.7,2,11.67,7,NA,NA,35,29,72
"cup",33,6.043478261,5,3.4208,3.57,3,10,104,27,26,81
"cupboard",19,5.782608696,4.79,2.1072,6.39,8,15,NA,27,21,44
"curb",39,4.72,4.68,2.3222,6.81,4,14,NA,33,29,82
"curd",27,4.875,4.19,1.3617,10.17,4,NA,NA,28,24,59
"curler",17,4.454545455,4.13,0.7782,7.62,6,NA,NA,31,23,43
"curry",21,4.565217391,4.84,2.0969,13.28,5,NA,NA,26,21,40
"curtain",43,5.875,4.82,2.721,4.95,7,12,NA,35,30,95
"cushion",35,5.75,4.68,2.0453,5.53,7,12,NA,34,30,81
"custard",30,4.956521739,4.85,1.8129,8.5,7,14,NA,29,24,65
"custodian",32,4.481481481,4.64,1.699,8.05,9,NA,NA,26,23,51
"customer",40,5.541666667,3.82,2.8899,7.21,8,21,692,27,24,63
"cuticle",28,5.08,4.94,1.301,11.82,7,NA,NA,33,32,67
"cutlery",36,5.913043478,4.75,1.2788,9.89,7,NA,NA,28,26,80
"cutlet",27,5.272727273,4.52,1.2788,11.76,6,NA,NA,28,21,57
"cuttlefish",27,4.454545455,4.23,1.0414,12.88,10,NA,NA,28,23,60
"cymbal",37,5.958333333,4.92,1.1461,9.94,6,NA,NA,31,28,70
"cymbals",41,5.695652174,4.88,1.3979,8.13,7,NA,NA,28,26,67
"dachshund",33,5.125,4.67,1.2788,9.17,9,NA,NA,27,26,89
"dad",35,5.416666667,4.29,4.4128,2.58,3,5,674,55,42,108
"daffodil",32,5.045454545,4.96,1.0414,5.63,8,NA,NA,26,21,53
"dagger",40,5.923076923,4.96,2.4014,8.44,6,10,108,58,56,172
"daiquiri",29,5.454545455,4.62,1.6232,15.47,8,NA,NA,34,32,77
"dairy",29,4.28,4.45,2.1553,6.85,5,13,NA,36,27,82
"daisy",42,5,5,2.8388,5.55,5,8,592,34,28,92
"damsel",20,4.652173913,3.88,1.6628,7.83,6,NA,NA,31,24,35
"dance",44,4.44,4.32,3.878,4.63,5,19,NA,37,32,81
"dancer",34,5.090909091,4.75,2.9201,6,6,23,668,32,29,74
"dandelion",41,5.826086957,5,1.2041,5.11,9,7,NA,26,24,63
"dandruff",26,4.72,4.79,1.6232,10.74,8,13,192,34,22,39
"darkroom",24,4.416666667,4.45,1.6532,11.67,8,NA,NA,32,27,63
"dart",43,5.291666667,4.9,1.9956,7.38,4,13,109,37,35,94
"dartboard",34,5.608695652,4.75,0.8451,8.44,9,NA,NA,32,27,71
"daughter",41,5.192307692,4.79,3.9415,4.95,8,13,692,39,33,84
"daybed",23,5.28,4.41,0.301,9.67,6,NA,NA,27,26,69
